id,prediction
0,0.0
1,0.0
2,0.0
3,0.0
4,10.304899
5,660.81195
6,1371.0144
7,2000.7365
8,2432.4043
9,2641.2937
10,2655.597
11,2530.958
12,2334.9102
13,2139.117
14,1869.8671
15,1442.0712
16,935.613
17,357.49417
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,166.91335
29,944.4468
30,1732.9386
31,2539.3098
32,3269.3657
33,3806.5293
34,4112.096
35,4199.3735
36,4105.064
37,3837.9092
38,3394.8762
39,2759.6636
40,1990.3933
41,1166.086
42,346.83566
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,227.98837
53,1133.8562
54,2044.6678
55,2828.687
56,3333.1545
57,3420.2083
58,2989.5632
59,2042.7208
60,3310.745
61,3434.2517
62,3085.6099
63,2453.1433
64,1771.2747
65,1119.7389
66,473.38965
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,163.38492
77,1083.699
78,2018.2937
79,2802.399
80,3286.9248
81,3449.8071
82,3431.7642
83,3340.2585
84,3156.401
85,2938.1172
86,2638.9558
87,2110.3713
88,1411.5443
89,694.67993
90,65.4956
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,348.94046
101,1225.2422
102,2149.4116
103,3033.544
104,3806.6292
105,4336.8496
106,4664.4893
107,4739.834
108,4520.755
109,4008.196
110,3305.5627
111,2460.566
112,1596.6259
113,821.4272
114,163.83003
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,222.7084
124,922.4812
125,1719.2899
126,2492.7776
127,3048.8193
128,3348.477
129,3495.3704
130,3559.5496
131,3573.4597
132,3523.4004
133,3372.2024
134,3047.2224
135,2476.7788
136,1790.438
137,1121.7878
138,486.77136
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,482.4946
149,1319.5105
150,2174.5486
151,2937.3545
152,3500.1648
153,3761.9524
154,3751.8074
155,3625.7422
156,3398.6365
157,3074.2327
158,2634.8218
159,2045.1044
160,1417.1156
161,808.1397
162,235.06224
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,325.79257
180,1674.2286
181,1941.9742
182,1930.1925
183,1729.7592
184,1376.5414
185,945.54144
186,515.48706
187,101.40686
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,28.329596
197,564.4802
198,1151.7174
199,1647.7302
200,1859.0112
201,2250.468
202,2476.8987
203,2366.0977
204,2334.2014
205,2012.6403
206,1352.5203
207,442.9532
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,560.64044
224,1029.593
225,1278.9678
226,1358.2975
227,1297.6824
228,1148.0994
229,952.2954
230,745.9252
231,497.62018
232,217.54976
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,63.08921
245,545.2984
246,957.5551
247,1175.6747
248,1010.93384
249,569.07935
250,473.11545
251,699.725
252,1154.779
253,1523.1989
254,1740.2167
255,1814.3162
256,1679.6261
257,1331.3063
258,863.0477
259,351.9153
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,226.66171
270,699.20447
271,1117.0271
272,1447.4896
273,1675.192
274,1797.7124
275,1883.6945
276,1862.7227
277,1715.3726
278,1475.3038
279,1146.1786
280,729.9019
281,269.09668
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,255.22899
294,757.9032
295,1135.6587
296,1416.2715
297,1617.1125
298,1626.6707
299,1356.0334
300,1205.7134
301,1333.4402
302,1327.5381
303,1193.3329
304,965.28265
305,682.5934
306,331.91272
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,493.09326
318,975.26416
319,1420.4335
320,1779.7599
321,1952.7164
322,1939.1245
323,1760.9564
324,1485.087
325,1195.0671
326,910.8975
327,662.01843
328,439.65247
329,207.73225
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,216.76784
343,519.99786
344,791.6248
345,1012.3295
346,1140.8815
347,1210.1271
348,1218.1803
349,1163.5967
350,1063.5977
351,885.8683
352,642.86444
353,350.20883
354,42.338318
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,5.1315875
366,423.62527
367,863.73737
368,1246.8835
369,1525.0366
370,1671.3751
371,1695.9926
372,1638.4083
373,1489.7714
374,1320.0979
375,1146.2194
376,925.9348
377,627.4439
378,227.09055
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,333.74866
392,680.45984
393,985.80585
394,1247.4442
395,1446.3203
396,1578.125
397,1585.0974
398,1510.5995
399,1397.5752
400,1255.8333
401,1034.6779
402,698.8062
403,251.51686
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,776.64526
413,1713.6265
414,2647.8782
415,3407.5503
416,3850.7705
417,3854.545
418,3319.1316
419,2187.8237
420,4639.2217
421,4705.826
422,4151.6987
423,3343.9763
424,2481.211
425,1647.4435
426,886.7593
427,220.79906
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,432.3307
437,1143.1942
438,1824.4524
439,2437.4192
440,2866.214
441,3045.7095
442,2863.3933
443,2426.815
444,1954.6692
445,1624.8892
446,1427.3395
447,1231.563
448,987.0647
449,644.87775
450,272.92807
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,38.859463
461,767.8965
462,1659.5148
463,2469.7734
464,3137.3242
465,3768.932
466,4359.0737
467,4681.288
468,4590.5913
469,4151.438
470,3519.0999
471,2798.0059
472,2045.6962
473,1314.715
474,644.26056
475,50.67
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,224.61339
484,940.6876
485,1805.6582
486,2740.1765
487,3642.2544
488,4405.7085
489,4940.94
490,5186.5347
491,5121.6665
492,4780.566
493,4214.8403
494,3522.87
495,2778.8342
