id,prediction
0,1.8287354
1,1.8287354
2,1.7036133
3,67.647705
4,334.19412
5,846.74316
6,1923.462
7,2923.1985
8,3084.596
9,3129.0457
10,3271.8162
11,3216.1394
12,2297.6282
13,2329.996
14,2263.9424
15,1830.0654
16,1270.8091
17,573.02124
18,257.31784
19,30.69629
20,1.4106445
21,0.7805786
22,0.63708496
23,0.9501343
24,1.1605225
25,3.4677124
26,3.5509033
27,147.7254
28,824.15393
29,1207.6226
30,1777.2975
31,2403.651
32,3320.5188
33,3870.4282
34,3874.6528
35,3539.9958
36,3708.9087
37,3552.4358
38,2810.105
39,2388.751
40,1697.5315
41,917.9376
42,418.2495
43,74.24042
44,5.0371094
45,2.4713745
46,2.829773
47,5.0596313
48,1.3566284
49,2.178833
50,24.306335
51,267.43405
52,716.3357
53,1571.9075
54,2832.2812
55,3669.83
56,4470.6533
57,4873.3584
58,4943.4434
59,4346.335
60,4114.126
61,3990.2505
62,3453.6653
63,2194.293
64,1267.115
65,731.29395
66,360.88562
67,117.64783
68,0.5006714
69,2.288025
70,2.0949097
71,3.062317
72,0.3649292
73,0.15332031
74,17.918335
75,154.18683
76,495.67102
77,1265.6476
78,2629.0078
79,3632.6367
80,4551.0166
81,3461.4475
82,3874.404
83,4024.648
84,3019.2375
85,2900.7532
86,2941.7668
87,2491.564
88,1847.2494
89,616.60004
90,270.41217
91,134.13123
92,4.8060913
93,-4.6153564
94,-0.43469238
95,1.7346802
96,-1.0718384
97,0.75372314
98,51.434143
99,283.29535
100,588.475
101,1358.9763
102,2794.9988
103,3524.0264
104,4349.7393
105,4522.584
106,4530.629
107,4397.0576
108,4714.6577
109,4236.131
110,3812.8323
111,3187.4734
112,2204.5273
113,1053.5299
114,459.4101
115,188.63068
116,12.39624
117,1.0509644
118,1.2885132
119,0.74401855
120,1.9793091
121,2.210022
122,87.697754
123,253.12741
124,708.837
125,1666.0635
126,2768.8633
127,3721.128
128,4036.3276
129,3830.5146
130,3390.0654
131,3059.3052
132,2676.8354
133,3544.0283
134,3545.681
135,2427.129
136,1726.9877
137,1019.17114
138,459.7646
139,195.00458
140,22.484192
141,1.1022339
142,1.3397827
143,1.7385254
144,2.210022
145,2.210022
146,88.84515
147,295.973
148,708.8698
149,1670.23
150,2846.763
151,3765.5625
152,4411.5195
153,4769.2188
154,4558.2944
155,4267.524
156,4094.5676
157,3909.261
158,3450.0662
